Package Name,Version,Reason
@deepseek/sdk,^1.0.0,Non-existent package
@firebase/sdk,^1.0.0,Non-existent package
@google-cloud/sdk,^1.0.0,Non-existent package
@grok/sdk,^1.0.0,Non-existent package
@huggingface/sdk,^1.0.0,Non-existent package
@klippa/sdk,^1.0.0,Non-existent package
@make/sdk,^1.0.0,Non-existent package
@meaningcloud/sdk,^1.0.0,Non-existent package
@monkeylearn/sdk,^1.0.0,Non-existent package
@n8n/sdk,^1.0.0,Non-existent package
@perplexity/sdk,^1.0.0,Non-existent package
@pipedream/sdk,^1.0.0,Non-existent package
@plotly/sdk,^1.0.0,Non-existent package
@pandas/sdk,^1.0.0,Non-existent package
@retool/sdk,^1.0.0,Non-existent package
@serpapi/sdk,^1.0.0,Non-existent package
@socialgrep/sdk,^1.0.0,Non-existent package
@amplitude/sdk,^1.0.0,Non-existent package
@zapier/sdk,^1.0.0,Non-existent package
@zoho/sdk,^1.0.0,Non-existent package
@zendesk/sdk,^1.0.0,Non-existent package
@zesty/sdk,^1.0.0,Non-existent package
@yext/sdk,^1.0.0,Non-existent package
@yelp/sdk,^1.0.0,Non-existent package
@xero/sdk,^1.0.0,Non-existent package
@workday/sdk,^1.0.0,Non-existent package
@wix/sdk,^1.0.0,Non-existent package
@webflow/sdk,^1.0.0,Non-existent package
@vonage/sdk,^1.0.0,Non-existent package
@vercel/sdk,^1.0.0,Non-existent package
@typeform/sdk,^1.0.0,Non-existent package
@twilio/flex-sdk,^1.0.0,Non-existent package
@trello/sdk,^1.0.0,Non-existent package
@tiktok/sdk,^1.0.0,Non-existent package
@tableau/sdk,^1.0.0,Non-existent package
@shopify/sdk,^1.0.0,Non-existent package
@sendgrid/sdk,^1.0.0,Non-existent package
@salesforce/sdk,^1.0.0,Non-existent package
@quickbooks/sdk,^1.0.0,Non-existent package
@qualtrics/sdk,^1.0.0,Non-existent package
@procore/sdk,^1.0.0,Non-existent package
@powerbi/sdk,^1.0.0,Non-existent package
@podio/sdk,^1.0.0,Non-existent package
@pinterest/sdk,^1.0.0,Non-existent package
@paypal/sdk,^1.0.0,Non-existent package
@patreon/sdk,^1.0.0,Non-existent package
@pardot/sdk,^1.0.0,Non-existent package
@oracle/sdk,^1.0.0,Non-existent package
@optimizely/sdk,^1.0.0,Non-existent package
@okta/sdk,^1.0.0,Non-existent package
@notion/sdk,^1.0.0,Non-existent package
@netlify/sdk,^1.0.0,Non-existent package
@netsuite/sdk,^1.0.0,Non-existent package
@microsoft/teams-sdk,^1.0.0,Non-existent package
@microsoft/dynamics-sdk,^1.0.0,Non-existent package
@marketo/sdk,^1.0.0,Non-existent package
@mailchimp/sdk,^1.0.0,Non-existent package
@linkedin/sdk,^1.0.0,Non-existent package
@lever/sdk,^1.0.0,Non-existent package
@klaviyo/sdk,^1.0.0,Non-existent package
@jira/sdk,^1.0.0,Non-existent package
@intercom/sdk,^1.0.0,Non-existent package
@instagram/sdk,^1.0.0,Non-existent package
@hubspot/sdk,^1.0.0,Non-existent package
@greenhouse/sdk,^1.0.0,Non-existent package
@freshworks/sdk,^1.0.0,Non-existent package
@facebook/sdk,^1.0.0,Non-existent package
@dropbox/sdk,^1.0.0,Non-existent package
@docusign/sdk,^1.0.0,Non-existent package
@discourse/sdk,^1.0.0,Non-existent package
@digitalocean/sdk,^1.0.0,Non-existent package
@contentful/sdk,^1.0.0,Non-existent package
@constant-contact/sdk,^1.0.0,Non-existent package
@clickup/sdk,^1.0.0,Non-existent package
@cisco/webex-sdk,^1.0.0,Non-existent package
@chargebee/sdk,^1.0.0,Non-existent package
@calendly/sdk,^1.0.0,Non-existent package
@box/sdk,^1.0.0,Non-existent package
@bitbucket/sdk,^1.0.0,Non-existent package
@bigcommerce/sdk,^1.0.0,Non-existent package
@basecamp/sdk,^1.0.0,Non-existent package
@bamboohr/sdk,^1.0.0,Non-existent package
@azure/sdk,^1.0.0,Non-existent package
@asana/sdk,^1.0.0,Non-existent package
beautifulsoup4,^0.0.1,Non-existent package 
